movies,Title,genresgenregenre,YEAR,Rating
2855,Nightmares,Horror,1983,7
2897,And the Ship Sails On (E la nave va),Comedy|War,1983,8
2902,Psycho II,Horror|Mystery|Thriller,1983,5
2915,Risky Business,Comedy,1983,5
2942,Flashdance,Drama|Romance,1982,10
3039,Trading Places,Comedy,1983,8
3331,My Tutor,Drama,1983,9
3347,Never Cry Wolf,Adventure|Drama,1983,4
3497,Max Dugan Returns,Comedy,1983,7
3550,The Hunger,Horror,1982,10
3584,Breathless,Action|Drama|Romance|Thriller,1982,4
3591,Mr. Mom,Comedy|Drama,1983,9
3689,Porky's II: The Next Day,Comedy,1983,4
3691,Private School,Comedy,1982,4
3843,Sleepaway Camp,Horror,1983,1
3846,Easy Money,Comedy,1982,3
4262,Scarface,Action|Crime|Drama,1983,4
4275,Krull,Action|Adventure|Fantasy|Sci-Fi,1983,2
4353,Uncommon Valor,Action|War,1983,6
4589,Eddie and the Cruisers,Drama|Musical|Mystery,1982,1
4809,Silkwood,Drama,1983,8
4957,Sudden Impact,Crime|Thriller,1983,8
4987,Spacehunter: Adventures in the Forbidden Zone,Action|Adventure|Sci-Fi,1983,4
5012,Yentl,Drama|Musical|Romance,1982,10
5041,Fire and Ice,Animation|Fantasy,1983,8
5054,Brainstorm,Sci-Fi|Thriller,1983,6
5101,Richard Pryor Here and Now,Comedy|Documentary,1983,2
5226,All the Right Moves,Drama|Romance,1983,3
5248,Smokey and the Bandit III,Action|Comedy,1983,7
5360,"Survivors, The",Comedy,1983,5
5650,Strange Brew,Comedy,1982,7
5694,Staying Alive,Comedy|Drama|Musical,1982,4
6001,"King of Comedy, The",Comedy|Drama,1983,7
6123,Sunless (Sans Soleil),Documentary,1983,3
6638,Valley Girl,Comedy|Romance,1982,10
6774,Videodrome,Fantasy|Horror|Sci-Fi|Thriller,1982,8
6807,Monty Python's The Meaning of Life,Comedy,1982,8
6979,WarGames,Drama|Sci-Fi|Thriller,1982,8
6989,Gorky Park,Crime|Drama|Thriller,1982,9
7570,Octopussy,Action|Adventure|Thriller,1983,8
7573,Never Say Never Again,Action|Adventure|Thriller,1983,6
7759,Nostalghia,Drama,1982,3
7934,Zelig,Comedy,1983,5
8183,Educating Rita,Comedy|Drama,1982,6
8722,Two of a Kind,Comedy|Fantasy|Romance,1983,7
8823,"Sting II, The",Comedy|Crime,1982,3
8827,"Bill Cosby, Himself",Comedy|Documentary,1982,5
26462,Bad Boys,Crime|Drama|Thriller,1982,2
26464,Blue Thunder,Action|Crime|Drama,1983,8
26467,"Day After, The",Drama|Sci-Fi,1982,10
26471,Eddie Murphy Delirious,Comedy|Documentary,1982,1
26480,"Raiders of Atlantis, The",Action|Mystery|Sci-Fi,1983,5
26485,Rumble Fish,Drama,1983,9
26487,Star 80,Drama,1982,1
26492,Twilight Zone: The Movie,Fantasy|Horror|Sci-Fi|Thriller,1982,10
31035,Testament,Drama,1983,4
32444,Carmen,Drama|Musical|Romance,1983,6
33021,Dark Habits (Entre tinieblas),Comedy|Drama,1983,10
42946,Project A ('A' gai waak),Action|Comedy,1982,5
48198,Streamers,Drama|War,1983,5
100306,Angst,Drama|Horror,1982,2
152173,Michael Jackson's Thriller,Horror,1983,4
1225,Amadeus,Drama,1984,5
1227,Once Upon a Time in America,Crime|Drama,1983,4
1240,"Terminator, The",Action|Sci-Fi|Thriller,1984,8
1288,This Is Spinal Tap,Comedy,1984,1
1299,"Killing Fields, The",Drama|War,1984,6
1305,"Paris, Texas",Drama|Romance,1984,7
1347,"Nightmare on Elm Street, A",Horror|Thriller,1983,7
1375,Star Trek III: The Search for Spock,Action|Adventure|Sci-Fi,1983,2
1965,Repo Man,Comedy|Sci-Fi,1984,8
1977,Friday the 13th Part IV: The Final Chapter,Horror,1983,1
2003,Gremlins,Comedy|Horror,1984,10
2021,Dune,Adventure|Sci-Fi,1983,1
2100,Splash,Comedy|Fantasy|Romance,1984,5
2115,Indiana Jones and the Temple of Doom,Action|Adventure|Fantasy,1984,8
2117,1984 (Nineteen Eighty-Four),Drama|Sci-Fi,1983,7
2122,Children of the Corn,Horror|Thriller,1983,7
2144,Sixteen Candles,Comedy|Romance,1983,1
2161,"NeverEnding Story, The",Adventure|Children|Fantasy,1983,5
2257,No Small Affair,Comedy|Romance,1983,8
2259,Blame It on Rio,Comedy|Romance,1984,5
2311,2010: The Year We Make Contact,Sci-Fi,1984,3
2347,"Pope of Greenwich Village, The",Drama,1984,3
2364,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The)",Action|Horror|Sci-Fi|Thriller,1983,3
2378,Police Academy,Comedy|Crime,1983,6
2397,Mass Appeal,Drama,1984,10
2406,Romancing the Stone,Action|Adventure|Comedy|Romance,1984,8
2420,"Karate Kid, The",Drama,1984,8
2613,Night of the Comet,Comedy|Horror|Sci-Fi,1983,10
2716,Ghostbusters (a.k.a. Ghost Busters),Action|Comedy|Sci-Fi,1984,4
2852,"Soldier's Story, A",Drama,1983,4
2859,Stop Making Sense,Documentary|Musical,1983,8
2928,"Razor's Edge, The",Drama,1983,5
2945,Mike's Murder,Mystery,1983,3
3041,Meatballs Part II,Comedy,1984,10
3070,"Adventures of Buckaroo Banzai Across the 8th Dimension, The",Adventure|Comedy|Sci-Fi,1983,9
3098,"Natural, The",Drama,1984,10
3109,"River, The",Drama,1984,3
3110,Country,Drama,1984,7
3111,Places in the Heart,Drama,1983,5
3206,Against All Odds,Romance,1983,7
3308,"Flamingo Kid, The",Comedy|Drama,1983,4
3342,Birdy,Drama|War,1983,3
3398,"Muppets Take Manhattan, The",Children|Comedy|Musical,1983,10
3441,Red Dawn,Action|Drama|War,1984,10
3525,Bachelor Party,Comedy,1983,9
3683,Blood Simple,Crime|Drama|Film-Noir,1983,10
3699,Starman,Adventure|Drama|Romance|Sci-Fi,1984,8
3700,"Brother from Another Planet, The",Drama|Sci-Fi,1984,4
3708,Firestarter,Horror|Thriller,1983,3
3766,Missing in Action,Action|War,1983,10
3770,Dreamscape,Horror|Sci-Fi|Thriller,1984,5
3791,Footloose,Drama,1983,7
3877,Supergirl,Action|Adventure|Fantasy,1984,5
3925,Stranger Than Paradise,Comedy|Drama,1984,9
3937,Runaway,Sci-Fi|Thriller,1984,5
4000,"Bounty, The",Adventure|Drama,1983,8
4085,Beverly Hills Cop,Action|Comedy|Crime|Drama,1984,2
4214,Revenge of the Nerds,Comedy,1983,1
4222,C.H.U.D.,Horror,1983,4
4397,Cannonball Run II,Action|Comedy,1984,9
4690,"Cotton Club, The",Crime|Musical,1983,7
4692,"Hotel New Hampshire, The",Drama,1984,1
4971,Moscow on the Hudson,Comedy|Drama,1984,7
5040,Conan the Destroyer,Action|Adventure|Fantasy,1984,7
5061,Mrs. Soffel,Drama|Romance,1984,9
5276,Crimes of Passion,Drama|Romance|Thriller,1983,10
5277,"Evil That Men Do, The",Action|Thriller,1984,5
5344,Thief of Hearts,Drama|Thriller,1984,10
5428,Cheech & Chong's The Corsican Brothers,Comedy,1984,4
5500,Top Secret!,Comedy,1984,8
5568,Johnny Dangerously,Comedy,1984,9
6039,"Woman in Red, The",Comedy|Romance,1983,4
6348,Breakin' 2: Electric Boogaloo,Musical,1984,6
6349,Breakin',Drama|Musical,1984,9
6628,Hot Dog... The Movie,Comedy,1983,6
6814,City Heat,Action|Comedy,1984,10
6828,"Sunday in the Country, A (Un dimanche à la campagne)",Drama,1983,8
6991,"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure|Drama|Romance,1983,4
7087,"Passage to India, A",Adventure|Drama,1984,7
7099,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),Adventure|Animation|Drama|Fantasy|Sci-Fi,1984,4
7283,Swing Shift,Drama,1983,4
7616,Body Double,Mystery|Thriller,1984,1
7947,Under the Volcano,Drama,1983,10
7983,Broadway Danny Rose,Comedy,1983,9
8266,Purple Rain,Drama|Musical,1983,2
8591,"Philadelphia Experiment, The",Adventure|Drama|Sci-Fi,1984,1
8610,All of Me,Comedy|Fantasy,1984,5
8633,"Last Starfighter, The",Action|Adventure|Comedy|Sci-Fi,1983,2
26472,"Norte, El",Adventure|Drama,1984,7
26494,Suburbia,Drama,1984,3
26501,Choose Me,Comedy|Romance,1984,6
26505,Comfort and Joy,Comedy,1983,3
26509,Electric Dreams,Comedy|Drama|Romance|Sci-Fi,1983,10
26513,"Ice Pirates, The",Action|Adventure|Comedy|Sci-Fi,1983,1
26524,"Times of Harvey Milk, The",Documentary,1984,6
32825,Sexmission (Seksmisja),Adventure|Comedy|Sci-Fi,1983,1
42351,Threads,Drama|Sci-Fi|War,1983,2
71804,Reckless,Comedy|Drama|Romance,1983,3
110858,Firstborn,Drama|Thriller,1983,5
980,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie)",Action,1984,5
1199,Brazil,Fantasy|Sci-Fi,1984,3
1217,Ran,Drama|War,1985,9
1257,Better Off Dead...,Comedy|Romance,1985,1
1270,Back to the Future,Adventure|Comedy|Sci-Fi,1985,1
1297,Real Genius,Comedy,1985,8
1300,My Life as a Dog (Mitt liv som hund),Comedy|Drama,1984,9
1674,Witness,Drama|Romance|Thriller,1985,10
1959,Out of Africa,Drama|Romance,1985,5
1968,"Breakfast Club, The",Comedy|Drama,1985,2
1969,"Nightmare on Elm Street 2: Freddy's Revenge, A",Horror,1985,6
1978,Friday the 13th Part V: A New Beginning,Horror,1985,7
2005,"Goonies, The",Action|Adventure|Children|Comedy|Fantasy,1985,3
2033,"Black Cauldron, The",Adventure|Animation|Children|Fantasy,1984,8
2065,"Purple Rose of Cairo, The",Comedy|Drama|Fantasy|Romance,1985,9
2069,"Trip to Bountiful, The",Drama,1985,8
2073,Fandango,Comedy,1985,9
2077,"Journey of Natty Gann, The",Adventure|Children,1985,9
2086,One Magic Christmas,Drama|Fantasy,1985,6
2093,Return to Oz,Adventure|Children|Fantasy,1984,4
2134,Weird Science,Comedy|Fantasy|Sci-Fi,1984,2
2143,Legend,Adventure|Fantasy|Romance,1985,1
2146,St. Elmo's Fire,Drama|Romance,1984,1
2344,Runaway Train,Action|Adventure|Drama|Thriller,1984,1
2369,Desperately Seeking Susan,Comedy|Drama|Romance,1984,5
2370,"Emerald Forest, The",Action|Adventure|Drama,1984,8
2371,Fletch,Comedy|Crime|Mystery,1985,10
2373,Red Sonja,Action|Adventure|Fantasy,1985,7
2376,"View to a Kill, A",Action|Adventure|Thriller,1984,7
2377,Lifeforce,Horror|Sci-Fi,1985,1
2379,Police Academy 2: Their First Assignment,Comedy|Crime,1984,8
2399,Santa Claus: The Movie,Adventure|Children|Fantasy,1985,4
2401,Pale Rider,Western,1984,10
2402,Rambo: First Blood Part II,Action|Adventure|Thriller,1985,3
2405,"Jewel of the Nile, The",Action|Adventure|Comedy|Romance,1984,7
2407,Cocoon,Comedy|Sci-Fi,1984,9
2411,Rocky IV,Action|Drama,1985,3
2413,Clue,Comedy|Crime|Mystery|Thriller,1984,5
2414,Young Sherlock Holmes,Action|Adventure|Children|Fantasy|Mystery|Thriller,1984,8
2615,My Science Project,Adventure|Sci-Fi,1985,8
2655,Howling II: Your Sister Is a Werewolf,Horror,1985,3
2739,"Color Purple, The",Drama,1985,7
2758,Plenty,Drama,1984,5
2787,Cat's Eye,Horror,1984,3
2794,European Vacation (aka National Lampoon's European Vacation),Adventure|Comedy|Romance,1984,8
2867,Fright Night,Comedy|Horror|Thriller,1985,9
3018,Re-Animator,Comedy|Horror|Sci-Fi,1984,4
3102,Jagged Edge,Crime|Romance|Thriller,1984,7
3169,The Falcon and the Snowman,Crime|Drama|Thriller,1985,2
3214,American Flyers,Drama,1985,6
3223,"Zed & Two Noughts, A",Drama,1984,4
3251,Agnes of God,Drama|Mystery,1984,6
3385,Volunteers,Comedy,1985,6
3399,Sesame Street Presents Follow That Bird,Children|Comedy,1985,4
3401,Baby... Secret of the Lost Legend,Adventure|Sci-Fi,1985,3
3402,Turtle Diary,Comedy|Drama|Romance,1985,6
3432,Death Wish 3,Action|Drama,1985,1
3479,Ladyhawke,Adventure|Fantasy|Romance,1985,9
3501,Murphy's Romance,Comedy|Romance,1985,4
3608,Pee-wee's Big Adventure,Adventure|Comedy,1984,7
3637,Vagabond (Sans toit ni loi),Drama,1984,3
3685,Prizzi's Honor,Comedy|Drama|Romance,1985,9
3690,Porky's Revenge,Comedy,1984,9
3693,"Toxic Avenger, The",Comedy|Horror,1985,5
3704,Mad Max Beyond Thunderdome,Action|Adventure|Sci-Fi,1984,8
3816,"Official Story, The (La historia oficial)",Drama,1985,3
3819,Tampopo,Comedy,1985,9
3961,Ghoulies,Horror,1985,5
4001,Code of Silence,Action,1985,5
4010,Brewster's Millions,Comedy,1985,4
4219,Girls Just Want to Have Fun,Comedy,1985,1
4276,Lost in America,Comedy,1984,8
4293,Summer Rental,Comedy,1985,10
4442,"Last Dragon, The",Action|Comedy|Drama,1984,5
4533,"Return of the Living Dead, The",Comedy|Horror|Sci-Fi,1985,1
4565,American Ninja,Action|Adventure,1984,2
4691,Def-Con 4,Action|Sci-Fi,1985,7
4949,Invasion U.S.A.,Action|Thriller,1985,3
4952,Morons From Outer Space,Comedy|Sci-Fi,1984,7
5278,Fraternity Vacation,Comedy|Romance,1985,3
5335,"Coca-Cola Kid, The",Comedy|Romance,1985,5
5367,My Beautiful Laundrette,Drama|Romance,1984,9
5433,Silver Bullet (Stephen King's Silver Bullet),Adventure|Drama|Horror|Mystery|Thriller,1984,9
5471,Perfect,Drama|Romance,1984,5
5538,"Care Bears Movie, The",Animation|Children|Fantasy,1985,5
5736,Faces of Death 3,Documentary|Horror,1985,5
6345,"Chorus Line, A",Comedy|Drama|Musical,1984,3
6582,Remo Williams: The Adventure Begins,Action|Comedy|Crime|Thriller,1984,9
6636,"Sure Thing, The",Comedy|Romance,1984,5
6664,Commando,Action|Adventure,1984,5
6718,Gotcha!,Comedy,1985,4
6731,Day of the Dead,Horror|Sci-Fi|Thriller,1985,10
6744,Once Bitten,Comedy|Horror,1985,9
6786,Kiss of the Spider Woman,Drama,1985,1
6803,Phenomena (a.k.a. Creepers),Horror|Mystery|Thriller,1985,2
6818,Come and See (Idi i smotri),Drama|War,1985,7
6896,Shoah,Documentary|War,1984,3
6906,That Was Then... This Is Now,Drama,1985,7
6964,Dance with a Stranger,Crime|Drama|Thriller,1984,2
7027,Silverado,Action|Western,1985,4
7036,Teen Wolf,Comedy|Fantasy,1984,3
7040,To Live and Die in L.A.,Action|Crime|Drama|Thriller,1985,5
7083,Sweet Dreams,Drama,1985,10
7307,Flesh & Blood,Action|Adventure|Drama|War,1984,10
7308,King Solomon's Mines,Adventure|Comedy,1984,4
7340,Just One of the Guys,Comedy,1985,10
7419,After Hours,Comedy|Thriller,1984,6
7481,Enemy Mine,Adventure|Drama|Sci-Fi,1985,10
7566,28 Up,Documentary,1985,2
7615,Desert Hearts,Drama,1985,10
7743,Explorers,Adventure|Children|Sci-Fi,1985,3
8392,Fool for Love,Drama,1984,7
8880,Mask,Drama,1984,6
8884,"Man with One Red Shoe, The",Comedy|Thriller,1984,3
9004,D.A.R.Y.L.,Adventure|Children|Sci-Fi,1985,10
26528,Anne of Green Gables,Children|Drama,1984,6
26547,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,1984,10
26554,"Quiet Earth, The",Drama|Mystery|Sci-Fi,1984,2
26555,Spies Like Us,Comedy,1984,3
26562,White Nights,Drama,1984,10
26581,Sherman's March,Documentary,1985,10
36152,Dreamchild,Drama|Fantasy|Romance,1984,8
58520,Mala Noche,Drama,1984,10
97817,Pumping Iron II: The Women,Documentary,1984,10
114122,Dim Sum: A Little Bit of Heart,Comedy,1985,2
1090,Platoon,Drama|War,1986,7
1101,Top Gun,Action|Romance,1985,5
1131,Jean de Florette,Drama|Mystery,1985,1
1132,Manon of the Spring (Manon des sources),Drama,1985,3
1200,Aliens,Action|Adventure|Horror|Sci-Fi,1985,4
1259,Stand by Me,Adventure|Drama,1985,4
1273,Down by Law,Comedy|Drama|Film-Noir,1986,5
1275,Highlander,Action|Adventure|Fantasy,1985,7
1296,"Room with a View, A",Drama|Romance,1985,4
1330,April Fool's Day,Horror,1985,5
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice),Horror,1985,10
1376,Star Trek IV: The Voyage Home,Adventure|Comedy|Sci-Fi,1985,8
1967,Labyrinth,Adventure|Fantasy|Musical,1985,4
1979,Friday the 13th Part VI: Jason Lives,Horror,1986,7
1995,Poltergeist II: The Other Side,Horror|Thriller,1985,8
2046,Flight of the Navigator,Adventure|Children|Sci-Fi,1986,1
2048,"Great Mouse Detective, The",Action|Animation|Children|Crime,1986,9
2076,Blue Velvet,Drama|Mystery|Thriller,1985,4
2119,Maximum Overdrive,Horror,1986,3
2141,"American Tail, An",Adventure|Animation|Children|Comedy,1985,6
2145,Pretty in Pink,Comedy|Drama|Romance,1985,9
2147,"Clan of the Cave Bear, The",Adventure|Drama|Fantasy,1986,4
2148,House,Comedy|Fantasy|Horror,1986,3
2159,Henry: Portrait of a Serial Killer,Crime|Horror|Thriller,1986,4
2260,Wisdom,Crime|Drama,1986,2
2261,One Crazy Summer,Comedy,1985,6
2262,About Last Night...,Comedy|Drama|Romance,1986,6
2312,Children of a Lesser God,Drama,1985,4
2345,Desert Bloom,Drama,1985,10
2348,Sid and Nancy,Drama,1986,10
2349,Mona Lisa,Comedy|Thriller,1986,10
2368,King Kong Lives,Adventure|Sci-Fi,1985,7
2374,Gung Ho,Comedy|Drama,1986,1
2375,"Money Pit, The",Comedy,1986,10
2380,Police Academy 3: Back in Training,Comedy|Crime,1985,5
2415,Violets Are Blue...,Drama|Romance,1986,2
2416,Back to School,Comedy,1986,6
2417,Heartburn,Comedy|Drama,1985,3
2418,Nothing in Common,Comedy,1986,6
2419,Extremities,Drama|Thriller,1986,9
2421,"Karate Kid, Part II, The",Action|Adventure|Drama,1985,9
2450,Howard the Duck,Adventure|Comedy|Sci-Fi,1985,7
2453,"Boy Who Could Fly, The",Drama|Fantasy,1985,5
2455,"Fly, The",Drama|Horror|Sci-Fi|Thriller,1985,1
2457,Running Scared,Action|Comedy,1986,1
2458,Armed and Dangerous,Comedy|Crime,1985,3
2460,"Texas Chainsaw Massacre 2, The",Horror,1985,6
2463,Ruthless People,Comedy,1986,9
2464,Trick or Treat,Horror,1986,9
2465,Deadly Friend,Horror,1985,3
2467,"Name of the Rose, The (Name der Rose, Der)",Crime|Drama|Mystery|Thriller,1985,7
2468,Jumpin' Jack Flash,Action|Comedy|Romance|Thriller,1986,1
2469,Peggy Sue Got Married,Comedy|Drama,1985,9
2470,Crocodile Dundee,Adventure|Comedy,1986,6
2472,Tough Guys,Comedy,1985,5
2473,Soul Man,Comedy,1985,2
2474,"Color of Money, The",Drama,1986,5
2475,52 Pick-Up,Action|Mystery|Thriller,1986,8
2476,Heartbreak Ridge,Action|War,1986,2
2478,¡Three Amigos!,Comedy|Western,1986,1
2734,"Mosquito Coast, The",Adventure|Drama|Thriller,1986,6
2735,"Golden Child, The",Action|Adventure|Comedy|Fantasy|Mystery,1985,1
2736,Brighton Beach Memoirs,Comedy,1986,10
2738,Crimes of the Heart,Comedy|Drama,1986,5
2741,No Mercy,Action|Crime|Thriller,1986,3
2745,"Mission, The",Drama,1986,1
2746,Little Shop of Horrors,Comedy|Horror|Musical,1985,8
2749,"Morning After, The",Drama|Mystery,1986,4
2786,Haunted Honeymoon,Comedy,1985,7
2815,Iron Eagle,Action|War,1986,8
2846,"Adventures of Milo and Otis, The (Koneko monogatari)",Adventure|Children|Comedy|Drama,1985,4
2903,Psycho III,Horror|Thriller,1986,7
2918,Ferris Bueller's Day Off,Comedy,1985,7
2938,Man Facing Southeast,Drama|Sci-Fi,1985,3
2992,Rawhead Rex,Horror|Thriller,1985,5
3112,'night Mother,Drama,1986,9
3360,Hoosiers (a.k.a. Best Shot),Drama|Romance,1985,4
3390,Shanghai Surprise,Adventure|Crime|Drama|Romance,1985,7
3422,She's Gotta Have It,Comedy|Romance,1986,3
3442,Band of the Hand,Action|Crime|Drama,1985,6
3459,Gothic,Drama|Horror,1986,4
3465,That's Life!,Drama,1985,7
3480,Lucas,Drama|Romance,1986,9
3491,My Chauffeur,Comedy,1985,9
3692,Class of Nuke 'Em High,Comedy|Horror,1986,5
3696,Night of the Creeps,Comedy|Horror|Sci-Fi|Thriller,1985,4
3707,9 1/2 Weeks (Nine 1/2 Weeks),Drama|Romance,1985,4
3740,Big Trouble in Little China,Action|Adventure|Comedy|Fantasy,1986,3
3763,F/X,Action|Crime|Thriller,1986,10
3941,Sorority House Massacre,Horror,1986,6
4006,Transformers: The Movie,Adventure|Animation|Children|Sci-Fi,1986,3
4043,At Close Range,Crime|Drama,1985,8
4180,Reform School Girls,Action|Drama,1986,1
4210,Manhunter,Action|Crime|Drama|Horror|Thriller,1986,7
4218,River's Edge,Crime|Drama,1985,8
4355,Youngblood,Action|Drama,1985,6
4407,Salvador,Drama|Thriller|War,1985,2
4410,Something Wild,Comedy|Crime|Drama,1985,6
4492,Critters,Comedy|Sci-Fi,1985,3
4545,Short Circuit,Comedy|Sci-Fi,1985,3
4753,Vamp,Comedy|Horror,1985,10
4812,SpaceCamp,Adventure|Sci-Fi,1985,8
4981,Clockwise,Comedy,1986,9
5342,Nomads,Horror|Mystery|Thriller,1986,5
5539,Care Bears Movie II: A New Generation,Animation|Children,1986,5
5548,Down and Out in Beverly Hills,Comedy,1985,7
6201,Lady Jane,Drama|Romance,1985,10
6308,Legal Eagles,Comedy|Crime|Romance,1986,10
6315,Wildcats,Comedy,1985,1
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,1986,9
6473,Half Moon Street,Drama|Thriller,1986,1
6644,"Green Ray, The (Rayon vert, Le)",Drama|Romance,1985,10
6800,Cobra,Action|Crime,1985,2
6993,Hannah and Her Sisters,Comedy|Drama|Romance,1986,3
7011,"Bullfighter, The (Matador)",Comedy|Crime|Drama,1985,8
7042,Betty Blue (37°2 le matin),Drama|Romance,1986,6
7815,True Stories,Comedy|Musical,1986,3
7984,From Beyond,Horror|Sci-Fi,1985,9
8743,Biggles,Adventure|Fantasy|Sci-Fi,1985,2
8933,"Decline of the American Empire, The (Déclin de l'empire américain, Le)",Comedy|Drama,1986,4
26564,'Round Midnight,Drama|Musical,1986,8
26574,Ginger and Fred (Ginger e Fred),Comedy|Drama,1986,8
26578,"Sacrifice, The (Offret - Sacraficatio)",Drama,1985,8
26585,"Better Tomorrow, A (Ying hung boon sik)",Crime|Drama|Thriller,1985,5
31000,Sweet Liberty,Comedy,1985,3
42191,Luxo Jr.,Animation|Children,1986,7
43838,Troll,Comedy|Fantasy|Horror,1985,2
75823,Combat Shock,Drama|Horror|War,1986,6
80717,Voyeur (Abel),Comedy,1985,1
1088,Dirty Dancing,Drama|Musical|Romance,1986,6
1197,"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance,1986,3
1202,Withnail & I,Comedy,1987,4
1211,"Wings of Desire (Himmel über Berlin, Der)",Drama|Fantasy|Romance,1986,1
1222,Full Metal Jacket,Drama|War,1986,6
1255,Bad Taste,Comedy|Horror|Sci-Fi,1987,2
1261,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror,1986,10
1290,Some Kind of Wonderful,Drama|Romance,1986,9
1332,"Believers, The",Horror|Thriller,1986,1
1394,Raising Arizona,Comedy,1986,7
1395,Tin Men,Comedy|Drama,1986,2
1960,"Last Emperor, The",Drama,1987,8
1970,"Nightmare on Elm Street 3: Dream Warriors, A",Horror|Thriller,1986,10
1988,Prom Night II,Horror|Thriller,1987,6
2000,Lethal Weapon,Action|Comedy|Crime|Drama,1987,3
2133,Adventures in Babysitting,Adventure|Comedy,1987,4
2149,House II: The Second Story,Comedy|Fantasy|Horror,1986,7
2164,Surf Nazis Must Die,Action|Comedy|Drama|Horror,1987,1
2194,"Untouchables, The",Action|Crime|Drama,1986,5
2243,Broadcast News,Comedy|Drama|Romance,1987,4
2244,"Allnighter, The",Comedy|Romance,1986,4
2381,Police Academy 4: Citizens on Patrol,Comedy|Crime,1986,1
2449,"Garbage Pail Kids Movie, The",Adventure|Children|Comedy,1987,7
2451,"Gate, The",Horror,1986,4
2643,Superman IV: The Quest for Peace,Action|Adventure|Sci-Fi,1986,8
2748,Allan Quatermain and the Lost City of Gold,Action|Adventure|Comedy,1986,6
2750,Radio Days,Comedy|Drama,1986,6
2751,From the Hip,Comedy|Drama,1987,8
2752,Outrageous Fortune,Comedy|Mystery,1986,10
2753,"Bedroom Window, The",Thriller,1986,5
2754,Deadtime Stories,Horror,1986,1
2755,Light of Day,Drama,1986,10
2880,Armour of God (Long xiong hu di),Action|Adventure|Comedy,1986,6
2956,Someone to Watch Over Me,Action|Crime|Thriller,1986,4
2972,Red Sorghum (Hong gao liang),Drama|War,1987,2
2985,RoboCop,Action|Crime|Drama|Sci-Fi|Thriller,1986,3
3017,Creepshow 2,Horror,1986,3
3033,Spaceballs,Comedy|Sci-Fi,1986,6
3042,Meatballs III,Comedy,1987,3
3072,Moonstruck,Comedy|Romance,1986,2
3090,Matewan,Drama,1987,5
3094,Maurice,Drama|Romance,1986,5
3101,Fatal Attraction,Drama|Thriller,1987,1
3329,The Year My Voice Broke,Drama|Romance,1987,10
3388,Harry and the Hendersons,Children|Comedy,1987,10
3391,Who's That Girl?,Comedy,1986,3
3393,Date with an Angel,Comedy|Fantasy|Romance,1987,7
3394,Blind Date,Comedy|Romance,1987,10
3395,Nadine,Comedy,1986,2
3448,"Good Morning, Vietnam",Comedy|Drama|War,1986,3
3478,"Bamba, La",Drama,1987,4
3505,No Way Out,Drama|Mystery|Thriller,1987,10
3527,Predator,Action|Sci-Fi|Thriller,1986,2
3547,Prick Up Your Ears,Comedy|Drama,1987,6
3576,"Hidden, The",Action|Horror|Sci-Fi,1986,6
3673,Benji the Hunted,Adventure|Children,1987,8
3698,"Running Man, The",Action|Sci-Fi,1986,3
3706,Angel Heart,Film-Noir|Horror|Mystery|Thriller,1987,2
3715,Burglar,Comedy|Crime,1986,4
3716,Fatal Beauty,Action|Comedy|Crime|Drama,1987,10
3727,Near Dark,Horror|Western,1987,6
3777,Nekromantik,Comedy|Horror,1986,5
3917,Hellraiser,Horror,1986,6
3939,Slumber Party Massacre II,Horror,1987,7
3962,Ghoulies II,Comedy|Horror,1986,9
4002,"Planes, Trains & Automobiles",Comedy,1987,6
4005,"Living Daylights, The",Action|Adventure|Thriller,1987,1
4007,Wall Street,Drama,1986,1
4037,House of Games,Crime|Film-Noir|Mystery|Thriller,1986,1
4079,Amazon Women on the Moon,Comedy|Sci-Fi,1987,2
4080,Baby Boom,Comedy,1986,3
4081,Back to the Beach,Comedy,1987,5
4082,Barfly,Comedy|Drama|Romance,1986,7
4084,Beverly Hills Cop II,Action|Comedy|Crime|Thriller,1986,2
4086,"Big Easy, The",Action|Crime|Mystery|Romance|Thriller,1986,5
4088,"Big Town, The",Drama|Romance|Thriller,1987,5
4089,Born in East L.A.,Comedy,1986,7
4090,"Brave Little Toaster, The",Animation|Children,1986,4
4091,Can't Buy Me Love,Comedy|Romance,1986,8
4092,Cherry 2000,Romance|Sci-Fi,1986,7
4095,Cry Freedom,Drama,1986,2
4098,"Dead, The",Drama,1986,5
4101,Dogs in Space,Drama,1987,7
4102,Eddie Murphy Raw,Comedy|Documentary,1986,6
4103,Empire of the Sun,Action|Adventure|Drama|War,1986,8
4104,Ernest Goes to Camp,Comedy,1987,10
4106,Extreme Prejudice,Action|Crime|Drama|Thriller|Western,1986,4
4108,Five Corners,Drama,1987,4
4109,Flowers in the Attic,Drama|Thriller,1986,10
